"タグID","タグ名","タググループ名","カテゴリID","カテゴリ名","カテゴリパス"
"73","サロペット","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"143","アーガイル","柄","2103","ワンピース・オールインワン","レディースファッション"
"146","ギンガムチェック","柄","2103","ワンピース・オールインワン","レディースファッション"
"147","グレンチェック","柄","2103","ワンピース・オールインワン","レディースファッション"
"148","スカル","柄","2103","ワンピース・オールインワン","レディースファッション"
"149","ストライプ","柄","2103","ワンピース・オールインワン","レディースファッション"
"150","ゼブラ","柄","2103","ワンピース・オールインワン","レディースファッション"
"151","タータンチェック","柄","2103","ワンピース・オールインワン","レディースファッション"
"152","その他チェック","柄","2103","ワンピース・オールインワン","レディースファッション"
"157","ハート","柄","2103","ワンピース・オールインワン","レディースファッション"
"159","花柄","柄","2103","ワンピース・オールインワン","レディースファッション"
"162","ペイズリー","柄","2103","ワンピース・オールインワン","レディースファッション"
"163","ボーダー","柄","2103","ワンピース・オールインワン","レディースファッション"
"164","星","柄","2103","ワンピース・オールインワン","レディースファッション"
"165","ドット（水玉）","柄","2103","ワンピース・オールインワン","レディースファッション"
"166","カモフラージュ（迷彩）","柄","2103","ワンピース・オールインワン","レディースファッション"
"167","モノグラム","柄","2103","ワンピース・オールインワン","レディースファッション"
"168","ユニオンジャック","柄","2103","ワンピース・オールインワン","レディースファッション"
"170","レオパード（ヒョウ柄）","柄","2103","ワンピース・オールインワン","レディースファッション"
"172","千鳥格子","柄","2103","ワンピース・オールインワン","レディースファッション"
"173","トロピカル柄","柄","2103","ワンピース・オールインワン","レディースファッション"
"241","タイト","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"266","マキシ","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"276","Aライン","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"282","ウール","素材","2103","ワンピース・オールインワン","レディースファッション"
"283","エナメル","素材","2103","ワンピース・オールインワン","レディースファッション"
"288","カシミヤ","素材","2103","ワンピース・オールインワン","レディースファッション"
"293","コーデュロイ","素材","2103","ワンピース・オールインワン","レディースファッション"
"299","シフォン","素材","2103","ワンピース・オールインワン","レディースファッション"
"303","シルク","素材","2103","ワンピース・オールインワン","レディースファッション"
"305","スウェット","素材","2103","ワンピース・オールインワン","レディースファッション"
"306","スエード","素材","2103","ワンピース・オールインワン","レディースファッション"
"309","ダンガリー","素材","2103","ワンピース・オールインワン","レディースファッション"
"311","ツイード","素材","2103","ワンピース・オールインワン","レディースファッション"
"312","ナイロン","素材","2103","ワンピース・オールインワン","レディースファッション"
"326","ベロア","素材","2103","ワンピース・オールインワン","レディースファッション"
"337","リネン（麻）","素材","2103","ワンピース・オールインワン","レディースファッション"
"340","レーヨン","素材","2103","ワンピース・オールインワン","レディースファッション"
"369","オフショルダー","袖","2103","ワンピース・オールインワン","レディースファッション"
"380","ドルマンスリーブ","袖","2103","ワンピース・オールインワン","レディースファッション"
"384","ノースリーブ","袖","2103","ワンピース・オールインワン","レディースファッション"
"392","パフスリーブ","袖","2103","ワンピース・オールインワン","レディースファッション"
"398","フレア","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"403","ホルターネック","襟","2103","ワンピース・オールインワン","レディースファッション"
"429","ヘンリーネック","襟","2103","ワンピース・オールインワン","レディースファッション"
"431","タイダイ","柄","2103","ワンピース・オールインワン","レディースファッション"
"432","Vネック","襟","2103","ワンピース・オールインワン","レディースファッション"
"433","Uネック","襟","2103","ワンピース・オールインワン","レディースファッション"
"434","ボートネック","襟","2103","ワンピース・オールインワン","レディースファッション"
"435","タートルネック","襟","2103","ワンピース・オールインワン","レディースファッション"
"492","バイカラー","柄","2103","ワンピース・オールインワン","レディースファッション"
"500","七分丈","袖","2103","ワンピース・オールインワン","レディースファッション"
"501","長袖","袖","2103","ワンピース・オールインワン","レディースファッション"
"504","無地","柄","2103","ワンピース・オールインワン","レディースファッション"
"505","その他アニマル柄","柄","2103","ワンピース・オールインワン","レディースファッション"
"506","レザー（本革）","素材","2103","ワンピース・オールインワン","レディースファッション"
"507","フェイクレザー","素材","2103","ワンピース・オールインワン","レディースファッション"
"508","コットン","素材","2103","ワンピース・オールインワン","レディースファッション"
"511","ミディアム丈","丈","2103","ワンピース・オールインワン","レディースファッション"
"512","ロング丈","丈","2103","ワンピース・オールインワン","レディースファッション"
"513","半袖","袖","2103","ワンピース・オールインワン","レディースファッション"
"537","パーティースタイル","スタイル","2103","ワンピース・オールインワン","レディースファッション"
"543","ハイネック","襟","2103","ワンピース・オールインワン","レディースファッション"
"544","アンゴラ","素材","2103","ワンピース・オールインワン","レディースファッション"
"586","デニム","素材","2103","ワンピース・オールインワン","レディースファッション"
"668","レース","素材","2103","ワンピース・オールインワン","レディースファッション"
"682","オフィススタイル","スタイル","2103","ワンピース・オールインワン","レディースファッション"
"698","スキッパー","襟","2103","ワンピース・オールインワン","レディースファッション"
"705","トライバル","柄","2103","ワンピース・オールインワン","レディースファッション"
"706","パイソン","柄","2103","ワンピース・オールインワン","レディースファッション"
"707","シャツワンピース","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"709","エレガントスタイル","スタイル","2103","ワンピース・オールインワン","レディースファッション"
"710","カジュアルスタイル","スタイル","2103","ワンピース・オールインワン","レディースファッション"
"735","キャミソールワンピース","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"736","ボリューム袖","袖","2103","ワンピース・オールインワン","レディースファッション"
"737","スーパーロング袖","袖","2103","ワンピース・オールインワン","レディースファッション"
"848","フォーマルスタイル","スタイル","2103","ワンピース・オールインワン","レディースファッション"
"1037","ロゴ","柄","2103","ワンピース・オールインワン","レディースファッション"
"1102","ティアード","タイプ","2103","ワンピース・オールインワン","レディースファッション"
"1147","ゴアテックス","素材","2103","ワンピース・オールインワン","レディースファッション"
"1148","ボア","素材","2103","ワンピース・オールインワン","レディースファッション"
"70","ショート丈","丈","2104","アウター","レディースファッション"
"143","アーガイル","柄","2104","アウター","レディースファッション"
"146","ギンガムチェック","柄","2104","アウター","レディースファッション"
"147","グレンチェック","柄","2104","アウター","レディースファッション"
"148","スカル","柄","2104","アウター","レディースファッション"
"149","ストライプ","柄","2104","アウター","レディースファッション"
"150","ゼブラ","柄","2104","アウター","レディースファッション"
"151","タータンチェック","柄","2104","アウター","レディースファッション"
"152","その他チェック","柄","2104","アウター","レディースファッション"
"157","ハート","柄","2104","アウター","レディースファッション"
"159","花柄","柄","2104","アウター","レディースファッション"
"162","ペイズリー","柄","2104","アウター","レディースファッション"
"163","ボーダー","柄","2104","アウター","レディースファッション"
"164","星","柄","2104","アウター","レディースファッション"
"165","ドット（水玉）","柄","2104","アウター","レディースファッション"
"166","カモフラージュ（迷彩）","柄","2104","アウター","レディースファッション"
"167","モノグラム","柄","2104","アウター","レディースファッション"
"168","ユニオンジャック","柄","2104","アウター","レディースファッション"
"170","レオパード（ヒョウ柄）","柄","2104","アウター","レディースファッション"
"172","千鳥格子","柄","2104","アウター","レディースファッション"
"173","トロピカル柄","柄","2104","アウター","レディースファッション"
"282","ウール","素材","2104","アウター","レディースファッション"
"288","カシミヤ","素材","2104","アウター","レディースファッション"
"306","スエード","素材","2104","アウター","レディースファッション"
"311","ツイード","素材","2104","アウター","レディースファッション"
"312","ナイロン","素材","2104","アウター","レディースファッション"
"321","フェイクムートン","素材","2104","アウター","レディースファッション"
"326","ベロア","素材","2104","アウター","レディースファッション"
"331","ムートン","素材","2104","アウター","レディースファッション"
"431","タイダイ","柄","2104","アウター","レディースファッション"
"492","バイカラー","柄","2104","アウター","レディースファッション"
"494","フェイクファー","素材","2104","アウター","レディースファッション"
"495","リアルファー","素材","2104","アウター","レディースファッション"
"504","無地","柄","2104","アウター","レディースファッション"
"505","その他アニマル柄","柄","2104","アウター","レディースファッション"
"506","レザー（本革）","素材","2104","アウター","レディースファッション"
"507","フェイクレザー","素材","2104","アウター","レディースファッション"
"508","コットン","素材","2104","アウター","レディースファッション"
"511","ミディアム丈","丈","2104","アウター","レディースファッション"
"512","ロング丈","丈","2104","アウター","レディースファッション"
"544","アンゴラ","素材","2104","アウター","レディースファッション"
"586","デニム","素材","2104","アウター","レディースファッション"
"705","トライバル","柄","2104","アウター","レディースファッション"
"706","パイソン","柄","2104","アウター","レディースファッション"
"1016","エコファー","素材","2104","アウター","レディースファッション"
"1018","シアリング","素材","2104","アウター","レディースファッション"
"1037","ロゴ","柄","2104","アウター","レディースファッション"
"1149","ゴアテックス","素材","2104","アウター","レディースファッション"
"1150","ボア","素材","2104","アウター","レディースファッション"
"143","アーガイル","柄","2105","靴・シューズ","レディースファッション"
"146","ギンガムチェック","柄","2105","靴・シューズ","レディースファッション"
"147","グレンチェック","柄","2105","靴・シューズ","レディースファッション"
"148","スカル","柄","2105","靴・シューズ","レディースファッション"
"149","ストライプ","柄","2105","靴・シューズ","レディースファッション"
"150","ゼブラ","柄","2105","靴・シューズ","レディースファッション"
"151","タータンチェック","柄","2105","靴・シューズ","レディースファッション"
"152","その他チェック","柄","2105","靴・シューズ","レディースファッション"
"157","ハート","柄","2105","靴・シューズ","レディースファッション"
"159","花柄","柄","2105","靴・シューズ","レディースファッション"
"162","ペイズリー","柄","2105","靴・シューズ","レディースファッション"
"163","ボーダー","柄","2105","靴・シューズ","レディースファッション"
"164","星","柄","2105","靴・シューズ","レディースファッション"
"165","ドット（水玉）","柄","2105","靴・シューズ","レディースファッション"
"166","カモフラージュ（迷彩）","柄","2105","靴・シューズ","レディースファッション"
"167","モノグラム","柄","2105","靴・シューズ","レディースファッション"
"168","ユニオンジャック","柄","2105","靴・シューズ","レディースファッション"
"170","レオパード（ヒョウ柄）","柄","2105","靴・シューズ","レディースファッション"
"172","千鳥格子","柄","2105","靴・シューズ","レディースファッション"
"173","トロピカル柄","柄","2105","靴・シューズ","レディースファッション"
"283","エナメル","素材","2105","靴・シューズ","レディースファッション"
"295","サテン","素材","2105","靴・シューズ","レディースファッション"
"298","シープスキン","素材","2105","靴・シューズ","レディースファッション"
"306","スエード","素材","2105","靴・シューズ","レディースファッション"
"311","ツイード","素材","2105","靴・シューズ","レディースファッション"
"317","ハラコ","素材","2105","靴・シューズ","レディースファッション"
"321","フェイクムートン","素材","2105","靴・シューズ","レディースファッション"
"326","ベロア","素材","2105","靴・シューズ","レディースファッション"
"331","ムートン","素材","2105","靴・シューズ","レディースファッション"
"431","タイダイ","柄","2105","靴・シューズ","レディースファッション"
"492","バイカラー","柄","2105","靴・シューズ","レディースファッション"
"494","フェイクファー","素材","2105","靴・シューズ","レディースファッション"
"495","リアルファー","素材","2105","靴・シューズ","レディースファッション"
"504","無地","柄","2105","靴・シューズ","レディースファッション"
"505","その他アニマル柄","柄","2105","靴・シューズ","レディースファッション"
"506","レザー（本革）","素材","2105","靴・シューズ","レディースファッション"
"507","フェイクレザー","素材","2105","靴・シューズ","レディースファッション"
"672","PVC","素材","2105","靴・シューズ","レディースファッション"
"705","トライバル","柄","2105","靴・シューズ","レディースファッション"
"706","パイソン","柄","2105","靴・シューズ","レディースファッション"
"1016","エコファー","素材","2105","靴・シューズ","レディースファッション"
"1018","シアリング","素材","2105","靴・シューズ","レディースファッション"
"1037","ロゴ","柄","2105","靴・シューズ","レディースファッション"
"1151","ゴアテックス","素材","2105","靴・シューズ","レディースファッション"
"1152","ボア","素材","2105","靴・シューズ","レディースファッション"
"143","アーガイル","柄","2106","バッグ・カバン","レディースファッション"
"146","ギンガムチェック","柄","2106","バッグ・カバン","レディースファッション"
"147","グレンチェック","柄","2106","バッグ・カバン","レディースファッション"
"148","スカル","柄","2106","バッグ・カバン","レディースファッション"
"149","ストライプ","柄","2106","バッグ・カバン","レディースファッション"
"150","ゼブラ","柄","2106","バッグ・カバン","レディースファッション"
"151","タータンチェック","柄","2106","バッグ・カバン","レディースファッション"
"152","その他チェック","柄","2106","バッグ・カバン","レディースファッション"
"157","ハート","柄","2106","バッグ・カバン","レディースファッション"
"159","花柄","柄","2106","バッグ・カバン","レディースファッション"
"162","ペイズリー","柄","2106","バッグ・カバン","レディースファッション"
"163","ボーダー","柄","2106","バッグ・カバン","レディースファッション"
"164","星","柄","2106","バッグ・カバン","レディースファッション"
"165","ドット（水玉）","柄","2106","バッグ・カバン","レディースファッション"
"166","カモフラージュ（迷彩）","柄","2106","バッグ・カバン","レディースファッション"
"167","モノグラム","柄","2106","バッグ・カバン","レディースファッション"
"168","ユニオンジャック","柄","2106","バッグ・カバン","レディースファッション"
"170","レオパード（ヒョウ柄）","柄","2106","バッグ・カバン","レディースファッション"
"172","千鳥格子","柄","2106","バッグ・カバン","レディースファッション"
"173","トロピカル柄","柄","2106","バッグ・カバン","レディースファッション"
"286","オーストリッチ","素材","2106","バッグ・カバン","レディースファッション"
"287","カーフスキン","素材","2106","バッグ・カバン","レディースファッション"
"289","キャンバス","素材","2106","バッグ・カバン","レディースファッション"
"292","クロコダイル","素材","2106","バッグ・カバン","レディースファッション"
"296","サフィアーノ","素材","2106","バッグ・カバン","レディースファッション"
"306","スエード","素材","2106","バッグ・カバン","レディースファッション"
"312","ナイロン","素材","2106","バッグ・カバン","レディースファッション"
"317","ハラコ","素材","2106","バッグ・カバン","レディースファッション"
"321","フェイクムートン","素材","2106","バッグ・カバン","レディースファッション"
"331","ムートン","素材","2106","バッグ・カバン","レディースファッション"
"336","ラムスキン","素材","2106","バッグ・カバン","レディースファッション"
"431","タイダイ","柄","2106","バッグ・カバン","レディースファッション"
"453","ウエストバッグ","タイプ","2106","バッグ・カバン","レディースファッション"
"454","サッチェルバッグ","タイプ","2106","バッグ・カバン","レディースファッション"
"460","バッグインバッグ","タイプ","2106","バッグ・カバン","レディースファッション"
"461","バニティバッグ","タイプ","2106","バッグ・カバン","レディースファッション"
"464","A4サイズ収納可","タイプ","2106","バッグ・カバン","レディースファッション"
"465","2WAY","タイプ","2106","バッグ・カバン","レディースファッション"
"466","3WAY","タイプ","2106","バッグ・カバン","レディースファッション"
"492","バイカラー","柄","2106","バッグ・カバン","レディースファッション"
"494","フェイクファー","素材","2106","バッグ・カバン","レディースファッション"
"495","リアルファー","素材","2106","バッグ・カバン","レディースファッション"
"504","無地","柄","2106","バッグ・カバン","レディースファッション"
"505","その他アニマル柄","柄","2106","バッグ・カバン","レディースファッション"
"506","レザー（本革）","素材","2106","バッグ・カバン","レディースファッション"
"507","フェイクレザー","素材","2106","バッグ・カバン","レディースファッション"
"539","巾着バッグ","タイプ","2106","バッグ・カバン","レディースファッション"
"671","クリアバッグ","タイプ","2106","バッグ・カバン","レディースファッション"
"672","PVC","素材","2106","バッグ・カバン","レディースファッション"
"705","トライバル","柄","2106","バッグ・カバン","レディースファッション"
"706","パイソン","柄","2106","バッグ・カバン","レディースファッション"
"756","斜め掛け・クロスボディ","タイプ","2106","バッグ・カバン","レディースファッション"
"1016","エコファー","素材","2106","バッグ・カバン","レディースファッション"
"1018","シアリング","素材","2106","バッグ・カバン","レディースファッション"
"1037","ロゴ","柄","2106","バッグ・カバン","レディースファッション"
"1087","デニム","素材","2106","バッグ・カバン","レディースファッション"
"521","ラウンド","フレーム","2108","アイウェア","レディースファッション"
"522","スクエア","フレーム","2108","アイウェア","レディースファッション"
